UserId:ItemId,Prediction,Timestamp
u0000001:i0000010,1,1362062307
u0000001:i0000020,2,1362062307
u0000001:i0000030,3,1362062307
u0000001:i0000040,4,1362062307
u0000001:i0000050,4,1362062307
u0000002:i0000010,5,1362062307
u0000002:i0000020,6,1362062307
u0000002:i0000030,7,1362062307
u0000002:i0000040,8,1362062307
u0000002:i0000050,4,1362062307
u0000003:i0000010,9,1362062307
u0000003:i0000020,10,1362062307
u0000003:i0000030,1,1362062307
u0000003:i0000040,2,1362062307
u0000003:i0000050,4,1362062307
u0000004:i0000010,3,1362062307
u0000004:i0000020,4,1362062307
u0000004:i0000030,5,1362062307
u0000004:i0000040,6,1362062307
u0000004:i0000050,4,1362062307
